Rank,ID,Name,Position,Week,Team,Opp,Att,RushYds,RushYds/Att,RushTD,Targets,Rec,PassYds,PassTD,Fum,Lost,FantasyPoints
1,16966,Aaron Ripkowski,FB,1,GB,CHI,0,0,0,0,0,0,0,0,0,0,0.00
2,4807,Adrian Peterson,RB,1,MIN,SF,10,31,3,0,3,3,21,0,0,0,5.20
3,16189,Alfred Blue,RB,1,HOU,KC,9,42,5,0,2,1,7,0,0,0,4.90
4,14269,Alfred Morris,RB,1,WAS,MIA,25,121,5,0,0,0,0,0,0,0,12.10
5,16815,Ameer Abdullah,RB,1,DET,SD,7,50,7,1,4,4,44,0,1,0,15.40
6,15224,Andre Ellington,RB,1,ARI,NO,12,69,6,1,3,1,7,0,1,1,11.60
7,16402,Andre Williams,RB,1,NYG,DAL,6,14,2,0,0,0,0,0,0,0,1.40
8,12285,Anthony Dixon,RB,1,BUF,IND,3,1,0,1,0,0,0,0,0,0,6.10
9,13418,Anthony Sherman,FB,1,KC,HOU,0,0,0,0,1,1,0,0,0,0,0.00
10,15191,Austin Johnson,FB,1,NO,ARI,1,4,4,0,3,2,5,0,0,0,0.90
11,15207,Benjamin Cunningham,RB,1,LA,SEA,16,45,3,0,7,4,77,0,0,0,12.20
12,14687,Bernard Pierce,RB,1,JAX,CAR,0,0,0,0,2,1,4,0,0,0,0.40
13,12800,Bilal Powell,RB,1,NYJ,CLE,12,62,5,0,4,2,16,0,0,0,7.80
14,16178,Bishop Sankey,RB,1,TEN,TB,12,74,6,1,3,2,12,1,1,0,20.60
15,13852,Bobby Rainey,RB,1,TB,TEN,3,10,3,0,1,1,4,0,0,0,1.40
16,16345,Branden Oliver,RB,1,SD,DET,2,4,2,0,1,1,17,0,0,0,2.10
17,13741,Brandon Bolden,RB,1,NE,PIT,5,1,0,0,2,1,12,0,0,0,1.30
18,13446,Bruce Miller,FB,1,SF,MIN,0,0,0,0,0,0,0,0,0,0,0.00
19,16934,Cameron Artis-Payne,RB,1,CAR,JAX,0,0,0,0,0,0,0,0,0,0,0.00
20,16668,Carlos Hyde,RB,1,SF,MIN,26,168,7,2,2,2,14,0,0,0,30.20
21,11737,Cedric Peerman,RB,1,CIN,OAK,0,0,0,0,0,0,0,0,0,0,0.00
22,16307,Charcandrick West,RB,1,KC,HOU,0,0,0,0,0,0,0,0,0,0,0.00
23,16609,Charles Sims,RB,1,TB,TEN,5,12,2,0,5,2,23,0,0,0,3.50
24,15596,Chase Reynolds,RB,1,LA,SEA,0,0,0,0,0,0,0,0,0,0,0.00
25,12239,Chris Ivory,RB,1,NYJ,CLE,20,91,5,2,1,1,9,0,0,0,22.00
26,6828,Chris Johnson,RB,1,ARI,NO,10,37,4,0,1,0,0,0,0,0,3.70
27,13735,Chris Polk,RB,1,HOU,KC,5,22,4,0,1,1,9,0,0,0,3.10
28,15102,Chris Thompson,RB,1,WAS,MIA,3,11,4,0,1,0,0,0,0,0,1.10
29,15020,CJ Anderson,RB,1,DEN,BAL,12,29,2,0,8,4,19,0,0,0,4.80
30,17197,Corey Grant,RB,1,JAX,CAR,0,0,0,0,1,1,5,0,0,0,0.50
31,16031,Damien Williams,RB,1,MIA,WAS,1,0,0,0,1,1,3,0,0,0,0.30
32,12317,Danny Woodhead,RB,1,SD,DET,13,43,3,2,6,3,19,0,0,0,18.20
33,11969,Darrel Young,FB,1,WAS,MIA,0,0,0,0,1,1,0,0,0,0,0.00
34,8066,Darren McFadden,RB,1,DAL,NYG,6,16,3,0,1,1,19,0,0,0,3.50
35,6198,Darren Sproles,RB,1,PHI,ATL,5,50,10,0,9,7,76,0,1,0,12.60
36,16847,David Johnson,RB,1,ARI,NO,0,0,0,0,2,1,55,1,0,0,11.50
37,7580,DeAngelo Williams,RB,1,PIT,NE,21,127,6,0,1,1,5,0,0,0,13.20
38,13124,DeMarco Murray,RB,1,PHI,ATL,8,9,1,1,5,4,11,1,0,0,14.00
39,15018,Denard Robinson,RB,1,JAX,CAR,5,19,4,0,2,2,26,0,0,0,4.50
40,15631,Derrick Coleman,FB,1,SEA,LA,1,2,2,0,0,0,0,0,0,0,0.20
41,16524,Devonta Freeman,RB,1,ATL,PHI,10,18,2,0,4,3,29,0,0,0,4.70
42,11220,Dexter McCluster,RB,1,TEN,TB,2,8,4,0,0,0,0,0,0,0,0.80
43,12708,Dion Lewis,RB,1,NE,PIT,15,69,5,0,5,4,51,0,1,0,12.00
44,14385,Doug Martin,RB,1,TB,TEN,11,52,5,0,1,1,2,0,0,0,5.40
45,16144,Dri Archer,RB,1,PIT,NE,0,0,0,0,0,0,0,0,0,0,0.00
46,16838,Duke Johnson,RB,1,CLE,NYJ,7,22,3,0,0,0,0,0,0,0,2.20
47,15138,Eddie Lacy,RB,1,GB,CHI,19,85,5,1,3,2,14,0,0,0,15.90
48,15616,Fozzy Whittaker,RB,1,CAR,JAX,2,2,1,0,2,2,3,0,0,0,0.50
49,5820,Frank Gore,RB,1,IND,BUF,8,31,4,0,3,2,0,0,0,0,3.10
50,5701,Fred Jackson,RB,1,SEA,LA,3,13,4,0,1,1,16,0,0,0,2.90
1,16966,Aaron Ripkowski,FB,2,GB,SEA,0,0,0,0,0,0,0,0,0,0,0.00
2,4807,Adrian Peterson,RB,2,MIN,DET,29,134,5,0,2,2,58,0,2,1,17.20
3,16189,Alfred Blue,RB,2,HOU,CAR,5,6,1,0,1,1,4,0,0,0,1.00
4,14269,Alfred Morris,RB,2,WAS,LA,18,59,3,0,2,2,13,0,0,0,7.20
5,16815,Ameer Abdullah,RB,2,DET,MIN,6,9,2,0,1,1,9,0,0,0,1.80
6,16402,Andre Williams,RB,2,NYG,ATL,6,43,7,0,0,0,0,0,0,0,4.30
7,12285,Anthony Dixon,RB,2,BUF,NE,0,0,0,0,0,0,0,0,0,0,0.00
8,13418,Anthony Sherman,FB,2,KC,DEN,0,0,0,0,0,0,0,0,0,0,0.00
9,15191,Austin Johnson,FB,2,NO,TB,1,1,1,1,1,0,0,0,0,0,6.10
